player,death_batting_index,death_runs,death_balls,death_strike_rate,death_boundary_pct
AB de Villiers,100.0,1421,604,235.26,36.09
T Stubbs,98.18,448,203,220.69,32.02
Naman Dhir,98.02,267,126,211.9,34.13
TH David,97.36,730,338,215.98,31.66
CH Gayle,96.69,404,193,209.33,32.12
AD Russell,96.61,1134,545,208.07,33.58
RR Pant,95.21,768,371,207.01,33.15
Shashank Singh,93.31,439,212,207.08,30.19
Ashutosh Sharma,91.74,361,178,202.81,30.34
Tilak Varma,91.32,384,189,203.17,30.16
H Klaasen,90.17,571,280,203.93,28.21
JC Buttler,89.67,555,274,202.55,29.93
RK Singh,89.67,674,336,200.6,30.95
R Powell,89.01,245,124,197.58,31.45
F du Plessis,88.76,416,207,200.97,29.95
RG Sharma,87.11,1176,595,197.65,29.08
V Kohli,86.61,1147,568,201.94,27.29
Ishan Kishan,86.03,290,149,194.63,30.2
SA Yadav,85.87,606,314,192.99,31.21
SS Iyer,85.21,585,298,196.31,28.52
JH Kallis,83.97,303,156,194.23,28.85
SV Samson,83.39,594,303,196.04,27.72
MP Stoinis,82.56,826,428,192.99,28.74
N Rana,79.34,308,165,186.67,30.3
KD Karthik,78.35,1565,830,188.55,28.07
MS Dhoni,77.6,2936,1548,189.66,26.23
KL Rahul,77.44,681,361,188.64,27.15
SO Hetmyer,76.28,813,430,189.07,25.58
CL White,76.28,283,148,191.22,24.32
GJ Maxwell,75.54,446,241,185.06,27.8
DJ Bravo,75.45,800,421,190.02,24.23
SR Watson,74.05,295,157,187.9,25.48
JM Sharma,72.64,335,182,184.07,26.37
HH Pandya,72.48,1290,698,184.81,25.64
SN Khan,72.31,253,139,182.01,28.06
SM Curran,71.74,343,188,182.45,26.6
GJ Bailey,71.74,287,153,187.58,24.18
KA Pollard,70.83,1708,928,184.05,25.54
Yuvraj Singh,70.25,601,332,181.02,26.81
DPMD Jayawardene,70.17,313,173,180.92,27.17
N Pooran,68.1,667,369,180.76,26.02
DA Warner,65.79,415,231,179.65,25.11
JP Duminy,64.96,712,391,182.1,22.51
Abdul Samad,64.3,452,254,177.95,25.2
R Tewatia,62.23,754,430,175.35,25.35
DA Miller,62.15,1161,652,178.07,23.47
Dhruv Jurel,61.98,409,228,179.39,22.81
RV Uthappa,61.16,415,234,177.35,23.93
MC Henriques,60.08,290,165,175.76,23.64
DJ Hussey,59.5,277,156,177.56,22.44
S Dube,58.18,578,333,173.57,24.02
SPD Smith,58.02,554,319,173.67,23.82
Rashid Khan,56.28,494,290,170.34,24.83
AT Rayudu,54.21,877,508,172.64,22.64
V Shankar,53.72,418,239,174.9,21.34
A Badoni,53.14,446,257,173.54,22.18
CH Morris,52.89,457,263,173.76,21.29
M Shahrukh Khan,52.89,329,192,171.35,22.4
SK Raina,52.07,664,383,173.37,21.93
BJ Hodge,51.24,494,291,169.76,22.34
KS Williamson,50.91,339,201,168.66,22.39
YK Pathan,48.1,858,511,167.91,22.31
Washington Sundar,46.69,367,220,166.82,22.27
EJG Morgan,46.28,404,240,168.33,21.25
JC Archer,45.62,241,143,168.53,20.28
S Dhawan,44.71,499,301,165.78,22.26
LRPL Taylor,43.55,224,135,165.93,21.48
AM Rahane,42.89,386,234,164.96,21.79
Gurkeerat Singh,42.89,201,125,160.8,24.0
JP Faulkner,42.81,389,233,166.95,20.17
A Symonds,42.73,239,142,168.31,19.72
AM Nayar,41.98,224,139,161.15,23.02
R Parag,41.4,417,256,162.89,21.88
S Badrinath,40.0,329,201,163.68,20.9
NLTC Perera,39.92,215,129,166.67,19.38
AJ Finch,39.75,203,125,162.4,21.6
JA Morkel,39.59,571,347,164.55,20.17
Harbhajan Singh,38.76,581,367,158.31,23.43
Shahbaz Ahmed,38.6,262,161,162.73,20.5
KH Pandya,37.27,642,401,160.1,21.95
PJ Cummins,35.95,370,229,161.57,20.09
RA Jadeja,34.38,1607,995,161.51,19.7
IK Pathan,32.73,563,356,158.15,21.07
Y Venugopal Rao,31.4,311,197,157.87,20.3
Mandeep Singh,30.91,326,203,160.59,18.23
Shubman Gill,30.17,337,211,159.72,18.96
STR Binny,30.0,336,210,160.0,18.57
MK Tiwary,27.52,501,323,155.11,20.12
R Bhatia,27.36,229,147,155.78,19.73
MK Pandey,27.02,536,341,157.18,18.77
AR Patel,25.37,824,524,157.25,17.75
WP Saha,24.46,441,281,156.94,17.79
LR Shukla,22.98,189,131,144.27,19.85
DJ Hooda,22.89,348,227,153.3,18.06
AD Mathews,21.98,322,209,154.07,17.22
Shakib Al Hasan,21.57,274,182,150.55,18.68
SS Tiwary,21.49,382,252,151.59,17.86
OA Shah,21.07,202,133,151.88,17.29
SN Thakur,18.84,199,142,140.14,19.01
KM Jadhav,18.51,466,325,143.38,18.15
A Ashish Reddy,18.43,192,127,151.18,16.54
P Negi,18.35,226,157,143.95,17.83
NV Ojha,17.19,313,217,144.24,17.05
G Gambhir,14.55,172,123,139.84,17.07
KV Sharma,14.46,228,161,141.61,16.15
Harpreet Brar,13.64,186,134,138.81,17.16
DT Christian,11.49,261,187,139.57,14.44
R Ashwin,10.74,421,312,134.94,16.03
M Manhas,10.58,204,149,136.91,14.77
K Rabada,10.33,169,127,133.07,16.54
JO Holder,9.67,197,147,134.01,15.65
PP Chawla,9.42,403,323,124.77,16.72
HV Patel,8.76,191,145,131.72,15.86
R Vinay Kumar,6.12,239,196,121.94,12.76
UT Yadav,5.45,184,161,114.29,14.29
DW Steyn,5.29,158,137,115.33,12.41
A Mishra,4.63,237,209,113.4,12.92
P Kumar,3.31,271,241,112.45,12.03
MG Johnson,2.23,149,137,108.76,10.95
B Kumar,1.9,299,291,102.75,11.0
Kuldeep Yadav,0.83,168,183,91.8,9.29
