season,matches,batters_used,bowlers_used,total_runs,total_wickets,run_rate,avg_innings_score
2007,58,154,98,35874,1380,8.31,156.96
2009,117,212,151,71720,2912,7.81,148.76
2011,73,180,134,42252,1623,7.73,147.88
2012,74,170,129,44906,1716,7.83,152.55
2013,76,172,131,46454,1882,7.68,145.58
2014,60,133,101,38514,1378,8.2,156.15
2015,59,129,99,37312,1407,8.39,156.53
2016,60,136,107,37724,1332,8.31,158.71
2017,59,143,107,38218,1464,8.4,158.19
2018,60,138,95,39802,1444,8.65,167.09
2019,60,144,104,40324,1428,8.43,158.46
2020,60,133,98,42524,1498,8.33,149.26
2021,60,149,110,37940,1456,8.05,153.51
2022,74,174,125,48790,1824,8.54,166.2
2023,74,177,137,51251,1825,9.0,175.65
2024,71,171,138,51942,1766,9.56,184.33
2025,74,166,128,53599,1762,9.64,182.12
2026,70,172,124,52307,1686,9.83,186.06
