team,matches,wins,losses_or_no_results,win_pct
Rising Pune Supergiant,16,10,6,62.5
Gujarat Titans,74,46,28,62.16
Royal Challengers Bengaluru,44,27,17,61.36
Chennai Super Kings,266,148,118,55.64
Mumbai Indians,291,155,136,53.26
Kolkata Knight Riders,278,140,138,50.36
Rajasthan Royals,249,122,127,49.0
Sunrisers Hyderabad,210,102,108,48.57
Delhi Capitals,120,58,62,48.33
Royal Challengers Bangalore,240,114,126,47.5
Lucknow Super Giants,72,34,38,47.22
Punjab Kings,88,41,47,46.59
Kings XI Punjab,190,85,105,44.74
Gujarat Lions,30,13,17,43.33
Kochi Tuskers Kerala,14,6,8,42.86
Delhi Daredevils,161,67,94,41.61
Deccan Chargers,75,29,46,38.67
Rising Pune Supergiants,14,5,9,35.71
Pune Warriors,46,12,34,26.09
