phase,batter,runs,balls,strike_rate
Death,MS Dhoni,2936,1548,189.66
Death,KA Pollard,1708,928,184.05
Death,RA Jadeja,1607,995,161.51
Death,KD Karthik,1565,830,188.55
Death,AB de Villiers,1421,604,235.26
Death,HH Pandya,1290,698,184.81
Death,RG Sharma,1176,595,197.65
Death,DA Miller,1161,652,178.07
Death,V Kohli,1147,568,201.94
Death,AD Russell,1134,545,208.07
Middle,V Kohli,4663,3624,128.67
Middle,RG Sharma,3589,2878,124.7
Middle,SK Raina,3312,2477,133.71
Middle,AB de Villiers,3019,2182,138.36
Middle,SV Samson,2968,2084,142.42
Middle,SA Yadav,2958,2036,145.28
Middle,KD Karthik,2881,2335,123.38
Middle,S Dhawan,2855,2232,127.91
Middle,DA Warner,2834,2060,137.57
Middle,KL Rahul,2710,1925,140.78
Powerplay,V Kohli,3418,2652,128.88
Powerplay,S Dhawan,3415,2771,123.24
Powerplay,DA Warner,3318,2389,138.89
Powerplay,AM Rahane,2759,2239,123.22
Powerplay,RG Sharma,2566,2023,126.84
Powerplay,KL Rahul,2437,1889,129.01
Powerplay,CH Gayle,2405,1766,136.18
Powerplay,F du Plessis,2281,1670,136.59
Powerplay,G Gambhir,2277,1862,122.29
Powerplay,RV Uthappa,2037,1632,124.82
